Date_of_build,No_of_processed_tickets,No of suceeded tickets,No_of_failed_tickets
30/05/2022,3,3,0
31/05/2022,1,0,1
31/05/2022,1,1,0
31/05/2022,1,1,0
31/05/2022,1,1,0
31/05/2022,1,1,0
31/05/2022,1,1,0
31/05/2022,1,1,0
31/05/2022,1,0,1
31/05/2022,1,0,1
31/05/2022,1,0,1
31/05/2022,1,0,1
31/05/2022,1,0,1
31/05/2022,1,1,0
31/05/2022,1,1,0
31/05/2022,1,0,1
31/05/2022,1,1,0
31/05/2022,1,0,1
31/05/2022,1,1,0
31/05/2022,1,1,0
1/6/2022,1,1,0
1/6/2022,1,1,0
1/6/2022,1,1,0
1/6/2022,1,1,0
1/6/2022,1,1,0
2/6/2022,1,1,0
2/6/2022,1,1,0
2/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
6/6/2022,1,1,0
7/6/2022,1,1,0
7/6/2022,1,1,0
7/6/2022,1,0,1
7/6/2022,1,1,0
7/6/2022,1,1,0
7/6/2022,5,5,0
7/6/2022,1,1,0
7/6/2022,1,1,0
7/6/2022,1,1,0
7/6/2022,1,1,0
8/6/2022,11,11,0
8/6/2022,1,1,0
8/6/2022,1,1,0
8/6/2022,1,1,0
8/6/2022,1,1,0
8/6/2022,1,1,0
8/6/2022,1,1,0
8/6/2022,1,1,0
8/6/2022,1,1,0
8/6/2022,1,1,0
8/6/2022,1,1,0
9/6/2022,7,5,2
9/6/2022,1,0,1
9/6/2022,1,0,1
9/6/2022,1,1,0
9/6/2022,1,1,0
9/6/2022,1,1,0
9/6/2022,1,1,0
9/6/2022,1,1,0
09/06/2022,4,4,0
22/06/2022,4,4,0
22/06/2022,1,1,0
22/06/2022,1,1,0
22/06/2022,1,1,0
23/06/2022,1,1,0
23/06/2022,1,1,0
23/06/2022,1,1,0
23/06/2022,1,1,0
23/06/2022,1,0,1
23/06/2022,1,0,1
23/06/2022,1,0,1
23/06/2022,1,0,1
24/06/2022,1,0,1
24/06/2022,1,0,1
28/06/2022,4,4,0
28/06/2022,1,1,0
28/06/2022,1,1,0
28/06/2022,1,1,0
28/06/2022,1,1,0
28/06/2022,1,1,0
28/06/2022,1,1,0
28/06/2022,1,1,0
28/06/2022,1,1,0
28/06/2022,1,1,0
29/06/2022,1,0,1
29/06/2022,1,0,1
29/06/2022,1,0,1
29/06/2022,1,0,1
29/06/2022,1,1,0
29/06/2022,1,0,1
29/06/2022,1,0,1
29/06/2022,1,0,1
30/06/2022,1,1,0
30/06/2022,1,1,0
30/06/2022,1,1,0
30/06/2022,1,1,0
30/06/2022,1,1,0
30/06/2022,1,1,0
30/06/2022,1,1,0
30/06/2022,1,1,0
30/06/2022,8,5,3
30/06/2022,1,0,1
01/07/2022,1,1,0
01/07/2022,1,1,0
01/07/2022,1,1,0
01/07/2022,1,1,0
