log_id,log_content,root_cause,severity,sw_version,platform,has_missing_blocks,has_overwritten,log_size,component
LOG_00000,"[21.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4110
[21.01.26 01:22:03] Platform: gen4
[21.01.26 01:22:03] Component: Storage
[21.01.26 01:22:03] ERROR: DISK in Storage
[21.01.26 01:22:03] ERROR: INODE in Storage
[21.01.26 01:22:03] ERROR: MOUNT in Storage
[21.01.26 01:22:03] ERROR: FILESYSTEM in Storage
[21.01.26 01:22:03] ERROR: READ in Storage
[21.01.26 01:22:03] ERROR: DISK in Storage
[21.01.26 01:22:03] INFO: Component initialized successfully
[21.01.26 01:22:03] DEBUG: Processing event queue
[21.01.26 01:22:03] INFO: System running normally",File System Error,MEDIUM,PIVI_SW4110,gen4,False,True,12964,FileSystem
LOG_00001,"[08.01.26 01:22:03] ERRMEM: VERSIONINFO: AIVI_SW5250
[08.01.26 01:22:03] Platform: gen3
[08.01.26 01:22:03] Component: CAN
[08.01.26 01:22:03] WARNING: CAN bus error detected
[08.01.26 01:22:03] ERROR: Frame transmission failed on CAN2
[08.01.26 01:22:03] TRACE: Bus-off state entered
[08.01.26 01:22:03] INFO: Error counter: 95
[08.01.26 01:22:03] ERROR: ERROR on CAN interface
[08.01.26 01:22:03] INFO: System running normally
[08.01.26 01:22:03] INFO: Component initialized successfully
[08.01.26 01:22:03] DEBUG: Processing event queue",CAN Bus Error,MEDIUM,AIVI_SW5250,gen3,True,True,47131,Network
LOG_00002,"[02.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4110
[02.01.26 01:22:03] Platform: gen3
[02.01.26 01:22:03] Component: Network
[02.01.26 01:22:03] WARNING: CAN bus error detected
[02.01.26 01:22:03] ERROR: Frame transmission failed on CAN2
[02.01.26 01:22:03] TRACE: Bus-off state entered
[02.01.26 01:22:03] INFO: Error counter: 230
[02.01.26 01:22:03] ERROR: BUS on CAN interface
[02.01.26 01:22:03] DEBUG: Processing event queue
[02.01.26 01:22:03] INFO: System running normally",CAN Bus Error,MEDIUM,PIVI_SW4110,gen3,False,True,18787,Communication
LOG_00003,"[06.01.26 01:22:03] ERRMEM: VERSIONINFO: AIVI_SW5244
[06.01.26 01:22:03] Platform: gen4
[06.01.26 01:22:03] Component: Unknown
[06.01.26 01:22:03] ERROR: EXCEPTION in Unknown
[06.01.26 01:22:03] ERROR: FAILED in Unknown
[06.01.26 01:22:03] ERROR: EXCEPTION in Unknown
[06.01.26 01:22:03] DEBUG: Processing event queue",Unknown Issue,MEDIUM,AIVI_SW5244,gen4,False,True,9315,Unknown
LOG_00004,"[22.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4110
[22.01.26 01:22:03] Platform: gen3
[22.01.26 01:22:03] Component: System
[22.01.26 01:22:03] CRITICAL: Kernel panic detected
[22.01.26 01:22:03] ERROR: Unable to handle kernel NULL pointer dereference
[22.01.26 01:22:03] TRACE: Exception at address 0x1BF0
[22.01.26 01:22:03] ERROR: CPU 3 EXCEPTION
[22.01.26 01:22:03] CRITICAL: System halted
[22.01.26 01:22:03] DEBUG: Processing event queue
[22.01.26 01:22:03] INFO: System running normally",Kernel Panic,CRITICAL,PIVI_SW4110,gen3,False,False,14539,System
LOG_00005,"[02.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4110
[02.01.26 01:22:03] Platform: gen3
[02.01.26 01:22:03] Component: Navigation
[02.01.26 01:22:03] WARNING: High memory usage detected
[02.01.26 01:22:03] ERROR: Heap allocation failed in Navigation
[02.01.26 01:22:03] TRACE: malloc returned NULL
[02.01.26 01:22:03] INFO: Available memory: 128 KB / 2048 KB
[02.01.26 01:22:03] ERROR: Memory leak suspected in navigation module
[02.01.26 01:22:03] TRACE: OOM - size: 781 bytes
[02.01.26 01:22:03] INFO: System running normally
[02.01.26 01:22:03] INFO: Component initialized successfully",Memory Leak,HIGH,PIVI_SW4110,gen3,False,False,49613,Audio
LOG_00006,"[16.01.26 01:22:03] ERRMEM: VERSIONINFO: AIVI_SW5250
[16.01.26 01:22:03] Platform: gen4
[16.01.26 01:22:03] Component: Unknown
[16.01.26 01:22:03] ERROR: ERROR in Unknown
[16.01.26 01:22:03] ERROR: ERROR in Unknown
[16.01.26 01:22:03] ERROR: WARNING in Unknown
[16.01.26 01:22:03] ERROR: EXCEPTION in Unknown
[16.01.26 01:22:03] ERROR: ERROR in Unknown
[16.01.26 01:22:03] ERROR: ERROR in Unknown
[16.01.26 01:22:03] INFO: Component initialized successfully
[16.01.26 01:22:03] INFO: System running normally
[16.01.26 01:22:03] DEBUG: Processing event queue",Unknown Issue,MEDIUM,AIVI_SW5250,gen4,False,True,4786,Unknown
LOG_00007,"[16.01.26 01:22:03] ERRMEM: VERSIONINFO: PIVI_SW4110
[16.01.26 01:22:03] Platform: gen4
[16.01.26 01:22:03] Component: System
[16.01.26 01:22:03] ERROR: COMPLETED in System
[16.01.26 01:22:03] ERROR: RUNNING in System
[16.01.26 01:22:03] ERROR: COMPLETED in System
[16.01.26 01:22:03] ERROR: COMPLETED in System
[16.01.26 01:22:03] ERROR: NORMAL in System
[16.01.26 01:22:03] INFO: Component initialized successfully",No Issue,LOW,PIVI_SW4110,gen4,True,False,9488,System
LOG_00008,"[19.01.26 01:22:03] ERRMEM: VERSIONINFO: AIVI_SW5250
[19.01.26 01:22:03] Platform: gen3
[19.01.26 01:22:03] Component: Unknown
[19.01.26 01:22:03] ERROR: FAILED in Unknown
[19.01.26 01:22:03] ERROR: EXCEPTION in Unknown
[19.01.26 01:22:03] ERROR: ISSUE in Unknown
[19.01.26 01:22:03] ERROR: EXCEPTION in Unknown
[19.01.26 01:22:03] ERROR: FAILED in Unknown
[19.01.26 01:22:03] INFO: System running normally
[19.01.26 01:22:03] DEBUG: Processing event queue
[19.01.26 01:22:03] INFO: Component initialized successfully",Unknown Issue,MEDIUM,AIVI_SW5250,gen3,True,False,47576,Unknown
LOG_00009,"[11.01.26 01:22:03] ERRMEM: VERSIONINFO: AIVI_SW5250
[11.01.26 01:22:03] Platform: gen3
[11.01.26 01:22:03] Component: System
[11.01.26 01:22:03] ERROR: OK in System
[11.01.26 01:22:03] ERROR: NORMAL in System
[11.01.26 01:22:03] ERROR: COMPLETED in System
[11.01.26 01:22:03] ERROR: COMPLETED in System
[11.01.26 01:22:03] ERROR: COMPLETED in System
[11.01.26 01:22:03] INFO: Component initialized successfully
[11.01.26 01:22:03] DEBUG: Processing event queue
[11.01.26 01:22:03] INFO: System running normally",No Issue,LOW,AIVI_SW5250,gen3,True,True,33051,System
