PROCESSED_TICKET_COUNT,SUCCEEEDED_TICKET_COUNT,FAILED_TICKET_COUNT
0,0,0
1,1,0
0,0,0
1,1,0
1,1,0
0,0,0
0,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,0,1
1,0,1
1,0,1
1,0,1
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,1
1,1,0
1,1,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
1,1,0
2,0,2
0,0,0
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
0,0,0
1,1,0
1,1,0
1,1,0
1,0,1
1,0,1
1,0,1
1,1,0
1,1,0
1,0,1
1,0,1
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,1,0
1,0,1
1,0,1
1,0,1
1,0,1
1,1,0
1,0,1
1,1,0
1,1,0
1,1,0
1,0,1
2,1,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,0,1
1,1,0
1,0,1
1,0,1
2,0,2
2,0,2
0,0,0
4,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,0
0,0,0
1,1,0
1,1,0
0,0,0
1,1,0
0,0,0
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
0,0,0
1,1,0
1,1,0
